"DataSupplier","DataSet","Commodity","Species","SpeciesType","Value","Units","Year","TemporalResolution","Flag","FlagDescription"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Carp","Freshwater",0.083701,"1000 tonnes",2018,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Carp","Freshwater",4.3203,"1000 tonnes",2018,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Carp","Freshwater",0.066445,"1000 tonnes",2019,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Carp","Freshwater",4.449276,"1000 tonnes",2019,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Catfish","Freshwater",0.050091,"1000 tonnes",2010,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Catfish","Freshwater",9.632972,"1000 tonnes",2010,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Catfish","Freshwater",0.110504,"1000 tonnes",2011,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Catfish","Freshwater",9.647058,"1000 tonnes",2011,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Catfish","Freshwater",0.198868,"1000 tonnes",2012,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Catfish","Freshwater",11.121526,"1000 tonnes",2012,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Catfish","Freshwater",0.232518,"1000 tonnes",2013,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Catfish","Freshwater",13.551624,"1000 tonnes",2013,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Catfish","Freshwater",0.205817,"1000 tonnes",2014,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Catfish","Freshwater",14.107443,"1000 tonnes",2014,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Catfish","Freshwater",0.277954,"1000 tonnes",2015,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Catfish","Freshwater",13.981581,"1000 tonnes",2015,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Catfish","Freshwater",0.323756,"1000 tonnes",2016,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Catfish","Freshwater",14.938238,"1000 tonnes",2016,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Catfish","Freshwater",1.099026,"1000 tonnes",2017,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Catfish","Freshwater",15.933452,"1000 tonnes",2017,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Catfish","Freshwater",0.630092,"1000 tonnes",2018,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Catfish","Freshwater",12.887219,"1000 tonnes",2018,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Catfish","Freshwater",0.616083,"1000 tonnes",2019,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Catfish","Freshwater",15.16511,"1000 tonnes",2019,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Caviar, livers and roes","OtherFishProducts",3.15958,"1000 tonnes",2009,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Caviar, livers and roes","OtherFishProducts",0.887034,"1000 tonnes",2009,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Caviar, livers and roes","OtherFishProducts",1.015598,"1000 tonnes",2010,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Caviar, livers and roes","OtherFishProducts",1.271683,"1000 tonnes",2010,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Caviar, livers and roes","OtherFishProducts",1.288147,"1000 tonnes",2011,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Caviar, livers and roes","OtherFishProducts",1.990091,"1000 tonnes",2011,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Caviar, livers and roes","OtherFishProducts",0.116296,"1000 tonnes",2012,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Caviar, livers and roes","OtherFishProducts",0.991332,"1000 tonnes",2012,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Caviar, livers and roes","OtherFishProducts",0.187822,"1000 tonnes",2013,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Caviar, livers and roes","OtherFishProducts",1.173935,"1000 tonnes",2013,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Caviar, livers and roes","OtherFishProducts",0.592282,"1000 tonnes",2014,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Caviar, livers and roes","OtherFishProducts",1.595229,"1000 tonnes",2014,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Caviar, livers and roes","OtherFishProducts",0.505977,"1000 tonnes",2015,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Caviar, livers and roes","OtherFishProducts",1.814025,"1000 tonnes",2015,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Caviar, livers and roes","OtherFishProducts",0.322443,"1000 tonnes",2016,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Caviar, livers and roes","OtherFishProducts",1.390834,"1000 tonnes",2016,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Caviar, livers and roes","OtherFishProducts",0.708611,"1000 tonnes",2017,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Caviar, livers and roes","OtherFishProducts",1.079357,"1000 tonnes",2017,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Caviar, livers and roes","OtherFishProducts",1.533796,"1000 tonnes",2018,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Caviar, livers and roes","OtherFishProducts",1.086765,"1000 tonnes",2018,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Caviar, livers and roes","OtherFishProducts",2.383256,"1000 tonnes",2019,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Caviar, livers and roes","OtherFishProducts",0.834806,"1000 tonnes",2019,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Clam","Mollusc",0.0045,"1000 tonnes",2009,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Clam","Mollusc",0.011,"1000 tonnes",2010,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Clam","Mollusc",0.036,"1000 tonnes",2011,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
